step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrg,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
18,TRANSFER,59361.9,C7614919427,53778.52,0.0,M8217787137,793032.6,852394.5,0,0
12,TRANSFER,44683.73,C8053296898,119430.25,74746.51999999999,M4091954781,899254.47,943938.2,0,0
10,PAYMENT,154845.7,C1036611712,931670.21,776824.51,M3922429120,8504.53,8504.53,0,0
16,DEBIT,428119.98,C5598162843,634814.16,206694.18000000005,M9598554026,468373.28,468373.28,0,1
7,CASH_OUT,484878.61,C3814694352,145561.7,0.0,M779600634,0.0,484878.61,0,1
11,TRANSFER,251277.56,C4423984255,345983.2,94705.64000000001,M4555099051,0.0,251277.56,0,1
20,CASH_OUT,480651.27,C4230549250,387913.86,0.0,M9335608097,198132.7,678783.97,0,1
30,DEBIT,442982.6,C1794999933,911183.77,468201.17000000004,M2270609380,977815.62,977815.62,0,1
23,PAYMENT,498379.38,C2650531762,780028.22,281648.83999999997,M4576134949,561960.96,561960.96,0,1
6,PAYMENT,377570.36,C1043828738,982443.85,604873.49,M5370681484,0.0,0.0,0,1
12,CASH_OUT,88098.71,C2230286558,941821.37,853722.66,M3534387673,847347.86,935446.57,0,0
19,CASH_OUT,199430.48,C3527143544,248050.79,48620.31,M1900380269,377118.71,576549.1900000001,0,0
15,TRANSFER,459772.52,C6406895190,112031.35,0.0,M5211652566,502371.09,962143.6100000001,0,1
2,TRANSFER,460083.27,C4195134703,293718.98,0.0,M4028223609,830241.51,1290324.78,0,1
30,PAYMENT,444870.36,C8633993063,372053.48,0.0,M1211948271,145143.02,145143.02,0,1
29,TRANSFER,170311.86,C1100869881,639574.13,469262.27,M8293522287,151378.4,321690.26,0,0
14,DEBIT,394527.56,C7494309327,722666.51,328138.95,M2601519978,0.0,0.0,0,1
1,TRANSFER,100192.13,C9794893501,392119.97,291927.83999999997,M6572721959,0.0,100192.13,0,0
18,PAYMENT,271310.89,C6915396996,721869.43,450558.54000000004,M4784181665,729074.65,729074.65,0,1
10,DEBIT,444562.29,C4833363821,719186.64,274624.35000000003,M4295829626,178553.03,178553.03,0,1
27,CASH_OUT,49935.87,C5892374224,232752.89,182817.02000000002,M4407803976,381763.15,431699.02,0,0
29,DEBIT,183573.32,C8381897357,971770.73,788197.4099999999,M1737673375,644961.37,644961.37,0,0
26,PAYMENT,192190.95,C2634018968,191746.97,0.0,M9105421947,411152.2,411152.2,0,0
27,CASH_OUT,466508.11,C3256288195,306751.76,0.0,M3719650943,0.0,466508.11,0,1
14,CASH_OUT,129167.57,C4292403904,172166.88,42999.31,M8101189147,142120.86,271288.43,0,0
16,PAYMENT,282381.1,C1707652039,349120.54,66739.44,M2645814096,0.0,0.0,0,1
24,CASH_OUT,467111.8,C5079795631,964154.43,497042.63000000006,M5954020612,0.0,467111.8,0,1
23,DEBIT,441370.56,C1730078582,208711.93,0.0,M4431310342,228315.36,228315.36,0,1
16,PAYMENT,106642.96,C9576203649,572962.55,466319.59,M9766662688,242823.52,242823.52,0,0
3,CASH_OUT,43820.65,C3225061995,364552.1,320731.44999999995,M7461517679,0.0,43820.65,0,0
5,CASH_OUT,37135.59,C7643702323,153933.26,116797.67000000001,M8675697759,0.0,37135.59,0,0
29,DEBIT,332970.39,C8029500422,585943.35,252972.95999999996,M8399445778,582074.66,582074.66,0,1
4,DEBIT,279632.95,C1495415313,491127.18,211494.22999999998,M3231463979,317132.0,317132.0,0,1
12,CASH_OUT,208602.0,C9604482800,453178.89,244576.89,M2243026903,0.0,208602.0,0,1
12,DEBIT,450805.45,C3875237686,185784.28,0.0,M4727498688,0.0,0.0,0,1
12,DEBIT,383990.84,C8857413996,337258.28,0.0,M8599110685,489177.51,489177.51,0,1
10,TRANSFER,290991.97,C9491133782,173924.13,0.0,M210117715,800784.96,1091776.93,0,1
22,PAYMENT,313579.35,C9162622713,291229.16,0.0,M1874209645,555849.69,555849.69,0,1
19,CASH_OUT,178775.77,C1623348428,976850.94,798075.1699999999,M6086086475,0.0,178775.77,0,0
16,TRANSFER,240189.63,C2603527746,165591.29,0.0,M4082561587,742075.31,982264.9400000001,0,1
11,DEBIT,407425.29,C8101378218,278394.28,0.0,M6250108741,890828.05,890828.05,0,1
24,TRANSFER,210411.69,C3106893057,83480.46,0.0,M2900900175,0.0,210411.69,0,1
13,CASH_OUT,311387.06,C1601628074,103946.22,0.0,M3634141949,0.0,311387.06,0,1
6,CASH_OUT,449972.32,C7468577120,451652.87,1680.5499999999884,M1295394191,857732.29,1307704.61,0,1
1,TRANSFER,21137.73,C2861246480,489793.7,468655.97000000003,M3720057723,0.0,21137.73,0,0
14,TRANSFER,177528.88,C3150351409,738205.82,560676.94,M1372457847,0.0,177528.88,0,0
17,DEBIT,230058.75,C3295956711,262305.27,32246.52000000002,M5485633982,0.0,0.0,0,1
14,TRANSFER,315308.68,C6630825563,763649.4,448340.72000000003,M9679821541,0.0,315308.68,0,1
20,CASH_OUT,425292.98,C5575102473,732565.56,307272.5800000001,M9186123144,0.0,425292.98,0,1
12,CASH_OUT,28027.64,C2092142727,430574.33,402546.69,M1520149052,873235.64,901263.28,0,0
