step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrg,nameDest,oldbalanceDest,newbalanceDest
15,PAYMENT,321321.83,C7428089712,415586.4,94264.57,M3291682081,0.0,0.0
1,CASH_OUT,121588.31,C9790533067,86431.59,0.0,M6547203713,792558.4,914146.71
26,DEBIT,484131.42,C7720845219,231847.3,0.0,M7326639088,0.0,0.0
15,DEBIT,143851.82,C3856100834,458459.13,314607.31,M4214188967,707639.13,707639.13
23,TRANSFER,130244.57,C5153692546,864551.18,734306.6100000001,M2708197939,0.0,130244.57
17,DEBIT,440135.58,C2507241097,76613.73,0.0,M7364208502,947414.87,947414.87
17,CASH_OUT,224742.02,C9734763795,787377.17,562635.15,M2765187102,458134.27,682876.29
5,CASH_OUT,278484.02,C1807089188,518431.78,239947.76,M7733697079,0.0,278484.02
20,PAYMENT,123518.08,C5551410010,250434.96,126916.87999999999,M3034556991,424741.37,424741.37
14,CASH_OUT,158095.36,C8472140775,592735.65,434640.29000000004,M5035354129,0.0,158095.36
30,DEBIT,386207.64,C3045930222,713072.93,326865.29000000004,M8090017139,507316.77,507316.77
28,PAYMENT,329622.77,C6989582083,925650.25,596027.48,M8031416792,537537.58,537537.58
14,PAYMENT,5195.18,C6387470618,372358.45,367163.27,M2028061929,0.0,0.0
18,PAYMENT,484443.08,C8737871290,555350.75,70907.66999999998,M2911260600,423644.95,423644.95
3,TRANSFER,31574.91,C1790805670,940053.59,908478.6799999999,M6341870542,0.0,31574.91
3,CASH_OUT,223321.92,C2897698934,703313.69,479991.7699999999,M5267775741,872890.19,1096212.1099999999
20,TRANSFER,83917.92,C2456703908,533537.08,449619.16,M728251688,0.0,83917.92
21,CASH_OUT,75278.28,C2065357014,169611.13,94332.85,M2057532908,286914.22,362192.5
6,TRANSFER,61448.45,C5902939308,110139.17,48690.72,M6039447486,0.0,61448.45
22,PAYMENT,133202.82,C8850068331,327941.61,194738.78999999998,M501301602,20730.56,20730.56
24,TRANSFER,306123.71,C3563503786,862498.23,556374.52,M6746415135,208493.36,514617.07
11,TRANSFER,315731.74,C7355574456,305519.13,0.0,M6379969500,0.0,315731.74
15,TRANSFER,294093.27,C5470246263,937203.45,643110.1799999999,M6145288349,0.0,294093.27
17,TRANSFER,443932.42,C7315820262,181161.1,0.0,M2399436459,445998.57,889930.99
25,DEBIT,433385.35,C9795759251,985444.61,552059.26,M3671761378,0.0,0.0
26,CASH_OUT,328286.24,C6074870745,216405.35,0.0,M7157369734,47760.02,376046.26
26,TRANSFER,370704.17,C4013905145,875353.01,504648.84,M4773619701,0.0,370704.17
14,TRANSFER,211012.9,C9231757172,78181.83,0.0,M1019083674,680207.45,891220.35
14,DEBIT,55120.19,C1316081954,535982.62,480862.43,M9648631329,0.0,0.0
2,DEBIT,205800.05,C3741592377,174831.82,0.0,M1258894243,0.0,0.0
17,TRANSFER,476872.71,C5762960057,589449.16,112576.45000000001,M2573618492,793956.18,1270828.8900000001
1,CASH_OUT,376601.85,C7561379736,271069.47,0.0,M8595051405,321921.86,698523.71
18,DEBIT,477899.8,C8359279175,3557.93,0.0,M1062342481,0.0,0.0
26,TRANSFER,433714.0,C1718633420,406859.61,0.0,M9533202328,0.0,433714.0
13,TRANSFER,163612.25,C8657888903,152316.57,0.0,M1240856898,298020.03,461632.28
14,TRANSFER,308038.18,C7338491422,541708.49,233670.31,M8849290349,709664.92,1017703.1000000001
6,CASH_OUT,344670.84,C2280171557,357715.68,13044.839999999967,M1948769467,399627.4,744298.24
2,PAYMENT,71184.31,C1599385408,714441.84,643257.53,M6675300517,0.0,0.0
27,TRANSFER,129021.16,C5054709540,411504.77,282483.61,M4830402530,89025.88,218047.04
9,TRANSFER,373176.67,C1511029838,944777.83,571601.1599999999,M4720549625,0.0,373176.67
30,PAYMENT,186889.26,C1535863068,356395.58,169506.32,M3229283254,0.0,0.0
13,PAYMENT,288269.45,C8230015842,540356.91,252087.46000000002,M8782099825,402550.72,402550.72
13,TRANSFER,109161.4,C8583192395,7519.51,0.0,M7348174858,738085.71,847247.11
2,TRANSFER,84098.32,C2843130003,248666.62,164568.3,M5435112947,0.0,84098.32
9,CASH_OUT,6496.08,C2708576797,95080.78,88584.7,M2780994852,481130.11,487626.19
28,DEBIT,257157.84,C8282602366,811511.2,554353.36,M5529146422,0.0,0.0
3,CASH_OUT,84653.44,C4423165105,312296.24,227642.8,M500631921,0.0,84653.44
6,TRANSFER,402603.69,C8229099744,89678.78,0.0,M9245956751,0.0,402603.69
24,CASH_OUT,265985.99,C6369324053,91752.74,0.0,M7106769140,461245.22,727231.21
23,DEBIT,379116.73,C8341882186,722384.31,343267.5800000001,M6424292254,303195.35,303195.35
